NO;NAMA BARANG;HARGA KONTER;HARGA KONSUMEN;STOK BARANG
1;LCD TS SAMSUNG A13(4G)/M23/M235 WINFOCUS;;;
2;LCD TS SAMSUNG A13(4G)/M23/M235 OG SUPER;;;
3;LCD TS SAMSUNG A13(4G)/M23/M235 MEETO;;;
4;LCD TS SAMSUNG A107/A10S AGWIN;;;
5;LCD TS SAMSUNG A107/A10S MEETO;;;
6;LCD TS SAMSUNG A107/A10S WINFOCUS;;;
7;LCD TS SAMSUNG A207/A10S MGKU;;;
8;LCDTS SAMSUNG TAB T295/A7LITE ORG PUTIH;;;
9;LCD TS SAMSUNG TAB T295/A7LITE ORG HITAM;;;
10;LCD TS SAMSUNG TAB T285/TAB A ORG HITAM ;;;
11;LCD SAMSUNG J105 OC;;;
12;LCD SAMSUNG G530 OC;;;
13;LCD TS SAMSUNG J110/J1ACE OLED2 HITAM;;;
14;LCD TS SAMSUNG A34(5G)/A346/A346E INCELL;;;
15;LCD TS +FREM SAMSUNG S8PLUS TICTOK;;;
16;LCD TS +FREM SAMSUNG S9PLUS/G965 OLED2;;;
17;LCD TS SAMSUNG A71/M51 MGKU;;;
18;LCD TS SAMSUNG A71/M51 OLED+FREM ;;;
19;LCD TS SAMSUNG A53(5G)/A536/A536E OLED;;;
20;LCD TS SAMSUNG A53(5G)/A536/A536E SUPERSKY;;;
21;LCD TS SAMSUNG M52(5G)/M526 MGKU;;;
22;LCDTS SAMSUNG A04S/A047 MGKU;;;
23;LCD TS SAMSUNG J8/J810/J8(2018)/J8+ MEETO;;;
24;LCD TS SAMSUNG J8/J810/J8(2018)/J8+ MGKU;;;
25;LCD TS SAMSUNG J8/J810/J8(2018)/J8+ SHINESTAR;;;
26;LCD TS SAMSUNG A30/A50/A50S SHINESTAR;;;
27;LCD TS SAMSUNG A22(5G)/A226 MEETO;;;
28;LCD TS SAMSUNG A24/A245 MGKU;;;
29;LCD TS SAMSUNG A24/A245 MOSHI;;;
30;LCD TS SAMSUNG A24/A245 +FREM INCELL;;;
31;LCD TS SAMSUNG J7PRO/J730 INCELL GOLD;;;
32;LCD TS SAMSUNG J7PRO/J730 INCELL HITAM;;;
33;LCD TS SAMSUNG J7PRO/J730 OLED GOLD ;;;
34;LCD TS SAMSUNG J400 ONCELL GOLD ;;;
35;LCD TS SAMSUNG A032/A03CORE MEETO;;;
36;LCD TS SAMSUNG A52(4G)/A525/A52(5G)/A526 INCELL  BIG;;;
37;LCD TS SAMSUNG J120/J1(2016) OLED2 BIG;;;
38;LCD TS SAMSUNG J120/J1(2016) INCELL;;;
39;LCD TS SAMSUNG A015/A01 BIG TICTOK ;;;
40;LCD TS SAMSUNG J7PRIME/G610/ON7PRIME TICTOK;;;
41;LCD TS SAMSUNG J510/J5(2016) AA PUTIH ;;;
